"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,3.20023382412042,-0.00327948203802997,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,3.20764516977241,171.551373819,141.23468,164.003113370964,24231.8340280044,31624.3535245476,1.04783285168519,1.79783285168519,0.06378,-0.0159471483148121,100.240117269796,101.037474685536,1.05299999696035,4.55000000178069,2.81799999975042,2.33690000067756,3.61983284900657,3.44583285320581,0.7,4.14583285577222,3.34521338537634,-0.150000001780693,1.80893285509465,24486.9952395827,131.554088729681,31877.9684380298,32213.6434447133,-821.958874873889,1040.46887380666,-1862.42774868055,32034.4277486806,99.4436652397288,2.9766631356482e-17,TRUE,1
2,2027,3.22174475889102,-0.00490366337493003,17.8165965305319,19.889964733299,-2.0733682027671,4.38,2,0.85,0.0584776,-0.3435,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,3.2382765603481,171.542961517113,145.784900900636,164.029379802663,25016.5278294757,33301.4063031366,1.10458891571919,1.99079431040946,0.141813333333333,-0.037224417614141,100.679805901977,102.541026782684,0.685170959248184,4.61533161917562,2.39941709617784,2.32196513024009,3.3880914811385,3.45726936604737,0.85,4.30726936754232,3.36640604900929,-0.235331619175616,1.98530423730223,25187.9338131755,134.710620025382,33699.9197479089,33930.8218113115,-698.723420411173,1108.83377080937,-1807.55719122054,33841.9849399011,99.7381823761759,5.08621598922878e-17,TRUE,1
3,2028,3.18765333465311,-0.00476147635526697,17.6115480234511,19.5405239664943,-1.92897594304313,4.36,2,1,0.115374,-0.687,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,3.20432191120719,171.534793539561,150.432018155616,164.055876541236,25818.1379121388,35055.8603732891,1.1530466219146,2.17621302899425,0.21508,-0.062033378085396,101.120050310025,104.221719214295,0.349043577158272,4.61714837770109,2.15828402009085,2.24066428417131,3.33846628326105,3.38120180304764,1,4.38120180304764,3.49201094024394,-0.257148377701088,2.14053751887633,25908.254464263,137.618057810755,35530.4199575876,35654.4366063869,-685.373253444062,1214.94548563106,-1900.31873907512,35742.3036789762,100.246440782558,1.58080329835304e-30,TRUE,1
4,2029,3.22418477882997,-0.00477384912247297,17.5977902521607,18.6551811482848,-1.05739089612403,4.34,2,1,0.1728064,-1.0534,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,3.2408419674512,171.526604727325,155.282224387476,164.082350082159,26654.8629608099,36915.8047164841,1.22070299279165,2.39151763349962,0.312373333333333,-0.0916703405416791,100.793310344493,105.376827371577,0.0645624800621902,4.53476628990936,2.02511057937128,2.15193174406284,3.3651578618179,3.45790297061629,1,4.45790297124895,3.59478981521152,-0.194766289909365,2.30597122718611,26672.0720013945,140.404975658606,37424.7538519598,37448.9162012038,-395.72594012745,1315.62034332407,-1711.34628345152,37453.6499624277,100.012640582703,8.46985082325881e-18,TRUE,1
5,2030,3.16949138627003,-0.00462856358583202,17.6430302673608,18.5138971264359,-0.870866859075129,4.31,2,1,0.233428,-1.4198,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,3.19706968007034,171.518665509359,160.203881113846,164.126211025905,27507.0375027942,38857.9492905533,1.35804346398761,2.57498229584601,0.382533333333333,-0.124489869345727,100.440072440622,106.664565907908,-0.12953374171656,4.42030100164612,1.94829271113204,2.07564685985299,3.40232788511785,3.50211114968577,1,4.50211114968577,3.69257337866555,-0.110301001646117,2.42646428983277,27471.4066078815,143.140475565429,39373.7042954605,39322.7020630342,-342.892541899406,1415.46788231393,-1758.36042421334,39212.0103866411,99.7185043992763,3.68671750181086e-18,TRUE,1
6,2031,3.19673977474807,0.00571963518152896,17.6666812410143,18.0531824879306,-0.386501246916367,4.28,2,1,0.2975068,-1.8091,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.23499755816294,171.528475751294,165.325182302102,164.187056989139,28396.8894943326,40917.30306128,1.52708731320488,2.79944158577126,0.48872,-0.161632686795115,99.7368550030775,107.818489342833,-0.30282416696494,4.365836418648,1.91276876096187,2.01921874429013,3.48178841612906,3.57638300205109,1,4.5763830020511,3.80015995370856,-0.0858364186480038,2.55716425776097,28310.8968502774,145.878421866337,41424.9342534599,41299.4895413911,-160.107887423908,1522.08207031686,-1682.18995774077,40894.2003443818,99.0186580959963,1.24485027974943e-17,TRUE,1
7,2032,3.15674882862794,0.00605981110374298,17.6442784776922,17.7067741137856,-0.0624956360933133,4.26,2,1,0.3578872,-2.1984,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,3.18455509361957,171.538870052914,170.544083057851,164.231314188659,29301.2040851539,43064.7438624916,1.67756401335572,3.0071011036212,0.583053333333333,-0.205489319977618,98.7769955944817,109.051461593363,-0.436565261331002,4.32859093811921,1.89740086621051,1.98075150650799,3.52277480710428,3.63244545296141,1,4.63244545247455,3.90837015217411,-0.0685909381192094,2.65169394596656,29173.2852069664,148.646320306443,43555.1616780623,43365.0149726593,-27.2200753421761,1630.69545815993,-1657.9155335021,42552.1158778839,98.1254495235666,3.6028559520055e-19,TRUE,1
8,2033,3.22929098009459,0.00494791461041999,17.608225907511,17.7873014308486,-0.17907552333763,4.24,2,1,0.4144352,-2.6106,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,3.25596425041694,171.547357649727,176.051447749123,164.273749685379,30255.2408151082,45356.2548577317,1.82782244021005,3.32731712339589,0.734933333333334,-0.257110893123285,97.9622960246183,110.817840680783,-0.544951532510997,4.30909366860108,1.89253567781569,1.95621160725701,3.59780012764968,3.73468351618357,1,4.73468351593456,3.98223416239377,-0.0690936686010826,2.77847190867755,30090.3644166214,151.459504952002,45824.437960599,45574.7169836682,-82.0603520944704,1730.61743230267,-1812.67778439714,44364.7936622811,97.3451874164777,1.0894611765214e-17,TRUE,1
9,2034,3.20721536457327,0.00505436757981698,17.5966738638111,17.1399847418816,0.456689121929415,4.22,2,1,0.4689196,-3.0228,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,3.23398831777557,171.556028283757,181.697796830887,164.316363890182,31233.6917685836,47759.5322580354,1.87014520190392,3.64058362314286,0.83604,-0.315894798096082,96.5371077531037,112.331847657908,-0.605460992869978,4.29337470534174,1.88216971187101,1.93837787791017,3.61510991939153,3.77611660503652,1,4.77611660492432,4.0493344705177,-0.0733747053417355,2.83773872701416,31044.5839482916,154.310229879959,48196.7815680992,47904.9688558856,220.10945854159,1829.05466905126,-1608.94521050967,45973.7388727907,95.9686228188465,3.22698552209838e-18,TRUE,1
10,2035,3.18895955227678,0.00444352750355698,17.6229761873182,16.3895001454669,1.23347604185125,4.2,2,1,0.521461,-3.435,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,3.21509281815406,171.563651423057,187.492066079202,164.357978063289,32237.8839494798,50280.9464606405,1.90677717732857,3.94908784989495,0.9386,-0.381822822671427,94.3591883304116,113.450329463983,-0.624259046508373,4.27419581774853,1.8779586877121,1.92641433304884,3.6334987347857,3.81389033180275,1,4.81389033180275,4.102456571982,-0.0741958177485254,2.88747599875391,32036.6360425223,157.208112248018,50680.5687856839,50364.1907502174,625.132673845354,1912.45866667039,-1287.32599282503,47261.0648656158,93.8386265352865,3.01193432144147e-19,TRUE,1
