year,epsxgap,epsu,epspi,epspie,epsrf,epsmpe,epstp,epsrg
2026,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.914000000398760,-0.060843750054993,0,-0.080474622175133
2027,-5.523419682400555,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496
2028,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693
2029,-4.340851106197603,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839
2030,-4.121649734066298,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674
2031,-3.469248270225612,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554
2032,-2.942333290530195,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131
2033,-3.206342846773822,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055
2034,-2.956714034578601,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376
2035,-2.666824580291904,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632
