year,rbudp_star,UN,rbar10,gstar,LFstar,LQstar,CEstar,GDPstar,GDP$star2,xgap,R10,PIE,PGDP,GDP$star,GDP$,BUDP,U,PI,RF,MPE10,TP,RG,NI,D,BUD,debt_proxy_user,debt_proxy_base
2018,-2.2274337412055623,4.53,1.225,2.1420635158821755,162.633,125.778,155.37956820000002,20455.88,21191.678003600002,0.43830915458049624,2.4541666666666653,2.0025,103.59700000000001,21191.678003600002,21286.144,-608.9648846638446,3.7353838082662576,1.8317466714504071,2.3025,2.5249392057432853,-0.07077253907662007,2.3040766796718994,375,16801,-983.9648846638446,NA,NA
2019,-2.873603895644294,4.49,1.225,2.075251787358501,163.526,127.647,156.24909300000002,20873.78,21910.00662365,-2.590978687089729,2.4541666666666653,2.0025000000000000,104.96424999999999,21910.00662365,21336.79575,-2788.7772710218815,7.30070371129602,1.3197775997374261,0.7641666666666658,1.6157507720284574,-0.4890841053617907,1.8245280025384738,345,21017,-3133.7772710218815,NA,NA
2020,-12.728326918950506,4.46,1.225,1.9219975829640967,164.272,129.496,156.9783232,21272.77,23088.879556825003,-0.18583216327727747,1.1266666666666667,1.9287500000000000,108.53725,23088.879556825003,23044.0355,-2424.5649076502177,5.9940217981181645,3.4040161293011684,0.08249999999999999,1.569015297549755,-0.29484863088308955,1.6258285028059398,352,22284,-2776.5649076502177,NA,NA
2021,-10.501007212944309,4.45,1.225,2.2384707016554595,165.463,131.428,158.1329891,21746.61,25270.97434965,1.1815298459162182,1.2741666666666656,2.0565499999999997,116.2065,25270.97434965,25565.38575,-900.0596342077148,3.803691208758353,7.066007292427257,0.79,2.2349868685761196,0.14334646475721513,2.045684079334723,476,24253,-1376.0596342077147,NA,NA
2022,-3.5616340777148565,4.44,1.225,2.5772018836166755,167.384,133.254,159.98562719999998,22304.93,27118.44541865,1.0309988018792238,2.3783333333333347,2.3375000000000004,121.5805,27118.44541865,27397.965,-1036.017016510119,3.5840426769303626,4.624526166780685,4.605,3.732047177576855,0.07295282242314505,2.6065083483531066,658,26236,-1694.017016510119,NA,NA
2023,-3.8203407330924115,4.43,1.225,2.6935072656142367,169.678,134.979,162.1952002,22903.26,28552.17730455,1.383988416714499,3.8050000000000000,2.2812500000000000,124.66425000000001,28552.17730455,28947.89775,-949.982608976472,3.9299120251201503,2.5363853578493245,5.313333333333333,4.05002253778646,0.19747746221354046,3.237066431510876,881,28196,-1830.982608976472,NA,NA
2024,-3.327180967123951,4.42,1.225,2.5233538342800177,171.557,136.855,164.008492,23478.72,30040.670059199998,1.0836364290940814,4.2475000000000005,2.1050000000000000,127.9485,30040.670059199998,30362.76275,-805.4201298136888,4.2017650423316075,2.6344762030814595,4.400833333333333,3.854305412521675,0.4840279208116578,3.323739035087719,970,30172,-1775.4201298136888,NA,NA
2025,-2.681099084096587,4.41,1.6,2.5233538342800177,171.557,136.855,164.008492,23478.72,30040.670059199998,1.0836364290940814,4.338333333333333,2.1525,127.9485,30040.670059199998,30362.76275,-805.4201298136888,4.2017650423316075,2.6344762030814595,4.400833333333333,3.854305412521675,0.4840279208116578,3.323739035087719,970,30172,-1775.4201298136888,99.37172136945937,99.37172136945937
